Field name,Type [1]_,Format,Description
**ЕлектроннийДокумент**,М, ,The beginning of the document
**Заголовок**,М,Number of occurrences unit: Min = 1; Max = 1, Heading (block start)
НомерДокументу,М,String (16),Document number
ТипДокументу,М,String (50),Type of document: Sales Invoice
КодТипуДокументу,М,«006»,"Allowed value COMDOC code: 006 => Sales Invoice (`all COMDOC types <https://wiki.edin.ua/en/latest/XML/comdoc_type.html>`__)"
ДатаДокументу,М,Date (YYYY-MM-DD),Document date
ТермінОплати,O,Date (YYYY-MM-DD),Payment term (date)
**ТермінПідпису**,O, ,"Document sign period (block start)"
Початок,M,Date (YYYY-MM-DD),Date of the beginning of the sign period
Кінець,M,Date (YYYY-MM-DD),Date of the end of the sign period
**ТермінПідпису**, , ,"Document sign period (the end of the block)"
НомерЗамовлення,M,String (20),Order number
ДатаЗамовлення,M,Date (YYYY-MM-DD),Order date
МісцеСкладання, , ,Place of document assembly
**ДокПідстава**,M, , Document basis on (block start)
НомерДокументу,М,String (30),Basis document number
ТипДокументу,М,String (50),`Types of documents <https://wiki.edin.ua/en/latest/XML/code_doctype.html>`__
КодТипуДокументу,М,«001» / «002» / «003» ...,`Document type code <https://wiki.edin.ua/en/latest/XML/code_doctype.html>`__
ДатаДокументу,М,Date (YYYY-MM-DD),Basis document date
**ДокПідстава**, , ,Document basis on (the end of the block)
**Заголовок**, , ,Heading (the end of the block)
**Сторони**,M,Number of occurrences unit: Min = 1; Max = 1,"The parties between whom the document is concluded (block start)"
**Контрагент**,М,Number of occurrences unit: Min = 2; Max = 10,"Counterparty (block start). The first one indicates the sender's block, the second - the recipient"
СтатусКонтрагента,М,String (30),"Counterparty status:

* Покупець (Buyer)
* Отримувач (Recipient)
* Продавець (Seller)
* Замовник (Customer)
* Виконавець (Performer)
* Перевізник (Carrier)
* Платник (Payer)
* Підрядник (Contractor)
* Відправник (Sender)
* Вантажоодержувач (Consignee)
* Вантажовідправник (Consignor)
* Експедитор (Forwarder)
* Клієнт (Client)
* Консультант (Consultant)"
ВидОсоби,М,String (20),"Type of institution:

* Legal entity
* Physical person"
НазваКонтрагента,М,String (50),Counterparty name
КодКонтрагента,М,String (8),"Counterparty code. The value of the code is the payer's code in accordance with the USREOU (Registration (accounting) number from Interim Register of State Tax Administration of Ukraine) or the registration number of the taxpayer registration card (passport number recorded as a sequence of two uppercase letters of the Ukrainian alphabet and six digits)"
ІПН,М,String (12),Counterparty individual tax number
IBAN,M,String (35),IBAN (international bank account number; use in international settlements)
Телефон,M,String (20),Phone number
GLN,M,Integer (13),Counterparty Global Location Number (GLN)
**Контрагент**, , ,Counterparty (the end of the block)
**Сторони**, , ,"The parties between whom the document is concluded (the end of the block)"
**МісцеДоставки**,O, ,Delivery place (block start)
GLN,O,Integer (13),Delivery place Global Location Number (GLN)
Індекс,O,Integer (5),Post index
Область,O,String (50),Region
Місто,O,String (50),City
Вулиця,O,String (50),Street
**МісцеДоставки**, , ,Delivery place (the end of the block)
**Параметри**,M, ,"Parameters (block start). The field provides free value. This parameter is used to transfer additional information that is not included in the specification"
Параметр,O,String (50),Parameter. Maximum number of tags is 99. Each next tag identifier (ID) is incremented by one.
**Параметри**,M, ,Parameters (the end of the block)
**Таблиця**,M,Number of occurrences unit: Min = 0; Max = 1,Table (block start)
**Рядок**,M,Number of occurrences unit: Min = 1;Max = 9999,Row (block start). Each next tag identifier (ID) is incremented by one
НомПоз,М,Integer (3),Position number
Штрихкод,M,Integer (13),Barcode
АртикулПокупця,M,String (10),Buyer article 
АртикулПродавця,M,String (10),Seller article
КодУКТЗЕД,M,Integer (4...10),Product code according to the national classifier (UKT FEA Code)
Найменування,М,String (50),Commodity item name
ПрийнятаКількість,M,Decimal (#.00),Accepted quantity of commodity items
ОдиницяВиміру,M,String (10),Units [2]_
БазоваЦіна,M,Decimal (#.00),Price per unit without VAT
ПДВ,M,Decimal (#.00),VAT amount per unit of goods (services)
Ціна,M,Decimal (#.00),Price per unit with VAT
**ВсьогоПоРядку**,M,Number of occurrences unit: Min = 0; Max = 1,Total amount per row (block start)
СумаБезПДВ,M,Decimal (#.00),Amount without VAT and without discount
СумаПДВ,M,Decimal (#.00),VAT amount
Сума,M,Decimal (#.00),Sum
СумаЗіЗнижкоюБезПДВ,M,Decimal (#.00),Amount without VAT and with discount
СумаЗіЗнижкоюЗПДВ,M,Decimal (#.00),Amount with VAT and with discount
**ВсьогоПоРядку**, , ,Total amount per row (the end of the block)
**ЦінаРегулярна**,M, ,Regular price (block start)
ЦінаБезПДВ,M,Decimal (#.00),Price without VAT
ЦінаЗіЗнижкоюБезПДВ,M,Decimal (#.00),Price without VAT and with discount
ЦінаЗіЗнижкоюЗПДВ,M,Decimal (#.00),Price with VAT and with discount
**ЦінаРегулярна**, , ,Regular price (the end of the block)
**Рядок**, , ,Row (the end of the block)
**Таблиця**, , ,Table (the end of the block)
**ВсьогоПоДокументу**,M,,Total by Document (block start)
СумаБезПДВ,M,Decimal (#.00),Sum without VAT for all positions and without discount
ВсьогоЗіЗнижкоюБезПДВ,M,Decimal (#.00),Sum without VAT for all positions and with discount
ВсьогоЗіЗнижкоюЗПДВ,M,Decimal (#.00),Sum with VAT for all positions and with discount
ПДВ,M,Decimal (#.00),VAT amount for all positions
Сума,M,Decimal (#.00),Sum of all positions   
**ВсьогоПоДокументу**,M, ,Total by Document (the end of the block)
**ЕлектроннийДокумент**,M, ,End of the document
